PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC0,-,mortality:acute,0.026,mg/L,renewal,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC0,-,mortality:acute,0.0001,mg/L,renewal,-,water flea,ECOTOX,ECOTOX Details
6,LC0,-,mortality:acute,0.168128,g/m2,multiple routes within environmental exposures,-,japanese beetle,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.4,mg/L,static,-,hydra,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,2.881,mg/L,static,-,agile frog,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.4,mg/L,static,-,hydra,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,3.42,mg/L,static,-,agile frog,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.6,mg/L,static,-,hydra,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.003,mg/L,aquatic - not reported,-,oligochaete,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.003,mg/L,static,-,oligochaete,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.0002,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.5,mg/L,static,-,hydra,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0008,mg/L,flow-through,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.01,mg/L,static,-,beetle,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,3.747,mg/L,static,-,agile frog,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,renewal,-,monkey river prawn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.298,mg/L,culture medium,-,nematode,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.668,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.008,mg/L,static,-,beetle,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.7,mg/L,static,-,hydra,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.053,mg/L,renewal,-,wolf cichlid,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.097,mg/L,renewal,-,zambezi barbel,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.616,mg/L,renewal,-,zambezi barbel,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,water flea,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,renewal,-,monkey river prawn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.06,mg/L,renewal,-,tilapia,ECOTOX,ECOTOX Details
-1,LC10,-,mortality:acute,236,ppm,oral,-,mallard duck,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.4,mg/L,aquatic - not reported,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,80.5,mg/kg,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.014,mg/L,static,-,beetle,ECOTOX,ECOTOX Details
