PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC0,-,mortality:acute,1.41,mg/L,static,-,snail,ECOTOX,ECOTOX Details
-1,LC0,-,mortality:acute,62.5,ppm,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.0014,mg/L,static,-,blackfly,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,6.43,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,5.4,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.0009,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,1.62,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,2.77,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,1.32,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,19.3,mg/L,static,-,blue or 3-spot gourami,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,8.5,mg/L,static,-,blue or 3-spot gourami,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,3.2,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,3.81,mg/L,static,-,green swordtail,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,28.9,mg/L,static,-,blue or 3-spot gourami,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,2.06,mg/L,static,-,blue or 3-spot gourami,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.66,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.0014,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,4.99,mg/L,static,-,beluga,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.2,mg/L,static,-,white shrimp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,5.25,mg/L,static,-,green swordtail,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.176,mg/L,static,-,white shrimp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,4.985,mg/L,aquatic - not reported,-,mosquitofish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,13.4,mg/L,static,-,grass carp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,static,-,mesa silverside,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,7.27,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,12.12,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.14,mg/L,static,-,kutum,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,3.94,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.008,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.158,mg/L,static,-,white shrimp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.1,mg/L,static,-,green swordtail,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0003,mg/L,static,-,mysid,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,2.832,mg/L,renewal,-,shirbout,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,14.11,mg/L,static,-,grass carp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,6.721,mg/L,renewal,-,shirbout,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.14,mg/L,static,-,kutum,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0025,mg/L,static,-,mysid,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,6.35,mg/L,static,-,shark catfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,15.3,mg/L,static,-,green swordtail,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,4.041,mg/L,aquatic - not reported,-,mosquitofish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.149,mg/L,static,-,white shrimp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,8.25,mg/L,renewal,-,southern platyfish,ECOTOX,ECOTOX Details
