PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,558,ppm,oral,-,northern bobwhite quail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.024,mg/L,flow-through,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,7.4,mg/L,renewal,-,climbing perch,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.7,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.005,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0045,mg/L,flow-through,-,"golden stonefly, willow fly",ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.85,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,13.9,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.28,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,715,ppm,oral,-,northern bobwhite quail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0048,mg/L,flow-through,-,"golden stonefly, willow fly",ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.024,mg/L,flow-through,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.06,mg/L,static,-,sheepshead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6,mg/L,static,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.018,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.07,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.8,mg/L,renewal,-,climbing perch,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0025,mg/L,flow-through,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.037,mg/L,flow-through,-,common eel,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,634,ppm,oral,-,ring-necked pheasant,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,622,ppm,oral,-,mallard duck,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.39,mg/L,renewal,-,northern quahog or hard clam,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,7.2,mg/L,static,-,goldfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.65,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,5.7,mg/L,static,-,walking catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.052,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.25,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.064,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.07,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,510,ppm,oral,-,mallard duck,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.02,mg/L,flow-through,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.04,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.24,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.6,mg/L,renewal,-,climbing perch,ECOTOX,ECOTOX Details
