PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC10,-,mortality:chronic,0.965793,mg/kg,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0013,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0022,mg/L,static,-,striped bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,58.8,ppm,oral,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.28,mg/L,"environmental, unspecified",-,oblique banded leaf roller,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,92.1,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.49,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.16,mg/L,"environmental, unspecified",-,red scale parasite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.55,mg/L,"environmental, unspecified",-,oblique banded leaf roller,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0073,mg/L,static,-,leopard frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.001,mg/L,renewal,-,sacromento splittail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0003,mg/L,renewal,-,water flea,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.49,ug/eu,"environmental, unspecified",-,black-spotted lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,84.3,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,delta smelt,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,195,ppm,oral,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0006,mg/L,lentic ,-,"minnow,carp family",ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,5.83,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,40,ppm,"environmental, unspecified",-,cabbage looper,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.259,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.09,ppm,"topical, general",-,asian lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0126,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0003,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0003,mg/L,renewal,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.002,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0006,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
