PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC0,-,mortality:acute,38.5,mg/L,static,-,marine bivalve,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0008,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0007,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0995,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.49,mg/L,direct,-,parasitoid wasp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0208,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:chronic,0.004,mg/L,"environmental, unspecified",-,predatory bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0044,mg/L,renewal,-,water bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.5,ppm,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.019,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0616,mg/L,static,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.53,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:chronic,0.003,mg/L,oral,-,predatory bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:chronic,0.07,mg/L,"environmental, unspecified",-,predatory bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:chronic,0.05,mg/L,oral,-,predatory bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0026,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0457,mg/L,renewal,-,file rams-horn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0015,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0323,mg/L,static,-,water bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.002,mg/L,renewal,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0014,mg/L,renewal,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.178,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.23,ppm,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0251,mg/L,renewal,-,alderfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0012,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0089,mg/L,static,-,lesser water boatmen,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0002,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,194,mg/L,aquatic - not reported,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,3.3,ppm,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.011,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.226,mg/L,static,-,water bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,2.413,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0058,mg/L,renewal,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.114,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.09,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0062,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.015,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.014,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:chronic,1.9,mg/kg,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.101,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.025,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.089,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.155,mg/L,static,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.096,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.022,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.22,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.028,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.047,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.04,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.582,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.064,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,201,mg/L,aquatic - not reported,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.8142,mg/L,static,-,file rams-horn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0162,mg/L,static,-,cranefly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.095,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0099,mg/L,static,-,caddisfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.038,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.1,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.009,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.016,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
