PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
-1,LC0,-,mortality:acute,1000,ppm,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC01,-,mortality:acute,0.0027,mg/L,renewal,-,walking catfish,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.0032,mg/L,renewal,-,walking catfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0303,mg/L,renewal,-,tilapia,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0002,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,monkey river prawn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,64.4,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0035,mg/L,renewal,-,walking catfish,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,static,-,midge,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0009,mg/L,renewal,-,tilapia,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,water bug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,isopod,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,monkey river prawn,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,isopod,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,backswimmer,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,backswimmer,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,alderfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0004,mg/L,static,-,small red-eyed damselfly,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0006,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0,mg/L,static,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0011,mg/L,static,-,small red-eyed damselfly,ECOTOX,ECOTOX Details
6,LC15,-,mortality:acute,0.0038,mg/L,renewal,-,walking catfish,ECOTOX,ECOTOX Details
2,LC50,algae,ecotox,1,mg/L,-,-,-,ACToR,"UK Pesticide usage, ecotoxicity and hazard classification : Algae LC50 [2158]"
5,LC50,daphnia,acute,0.36,mg/m3,-,-,-,ACToR,"UK Pesticide usage, ecotoxicity and hazard classification : Daphnia LC50 [2158]"
2,LC50,fish,ecotox,0.00024,mg/L,-,-,-,ACToR,"UK Pesticide usage, ecotoxicity and hazard classification : Fish LC50 [2158]"
6,LC50,-,mortality:acute,16.74,ppm,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.138,mg/L,renewal,-,tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.1,ppm,"environmental, unspecified",-,green peach aphid,ECOTOX,ECOTOX Details
