PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC20,-,mortality:acute,0.71,mg/L,aquatic - not reported,-,mozambique tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.48,ppm,oral,-,housefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.88,mg/L,aquatic - not reported,-,mozambique tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,13.2,mg/L,dipped or soaked,-,western predatory mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.25,mg/L,static,-,largemouth bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,2.24,ug/eu,"environmental, unspecified",-,small hive beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.6,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,56,mg/L,"environmental, unspecified",-,leafminer parasitoid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,120,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.3,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.76,mg/L,static,-,largemouth bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.56,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.04,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,469,ppm,"environmental, unspecified",-,14-spot ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,14.4,mg/L,dipped or soaked,-,western predatory mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,148.26,ppm,"topical, general",-,asian lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.38,mg/L,static,-,fiddler crab,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.156,mg/L,static,-,northern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,120,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.2,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3100,mg/kg,oral,-,chocolate band snail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.13,mg/L,static,-,marsh grass shrimp,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,40,ug/eu,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,28,mg/L,"environmental, unspecified",-,leafminer parasitoid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.5,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,74,ppm,"environmental, unspecified",-,black bean aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.16,mg/L,static,-,sheepshead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.06,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.92,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3980,mg/L,dipped or soaked,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.76,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,658.32,ppm,"environmental, unspecified",-,coffee borer beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,19,mg/L,"environmental, unspecified",-,leafminer parasitoid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2883,ppm,oral,-,mallard duck,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.07,mg/L,aquatic - not reported,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.91,ppm,dipped or soaked,-,aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,22.7,mg/L,"environmental, unspecified",-,european corn borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.12,mg/L,aquatic - not reported,-,fairy shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,170,mg/L,"environmental, unspecified",-,green rice leafhopper,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.95,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.916,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.75,mg/L,static,-,scud,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.54,ug/eu,"environmental, unspecified",-,small hive beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.04,mg/L,renewal,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.7,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.03,mg/L,static,-,opossum shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,22.5,mg/L,multiple routes between application groups,-,egyptian cotton leafworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3124,ppm,oral,-,japanese quail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.8,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,472.9,ppm,direct,-,braconid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,12,mg/L,aquatic - not reported,-,marsh snail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,5.798,ppm,dipped or soaked,-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.34,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.72,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.76,mg/L,static,-,largemouth bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.7,mg/L,static,-,goldfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.3,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,77.3,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.87,mg/L,static,-,snail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.047,mg/L,aquatic - not reported,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.16,mg/L,static,-,common carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.228,mg/L,static,-,"motsuga, stone moroko",ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.1,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.2,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.8,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
