PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC10,-,mortality:acute,3.35,mg/L,renewal,-,american or virginia oyster,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,1.89,mg/L,renewal,-,american or virginia oyster,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,3.35,mg/L,renewal,-,american or virginia oyster,ECOTOX,ECOTOX Details
6,LC100,-,mortality:acute,0.5,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC100,-,mortality:acute,10,mg/L,aquatic - not reported,-,snail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0509,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3,mg/L,static,-,japanese medaka,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.1192,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.016,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.021,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,western chorus frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.44,mg/L,flow-through,-,spot,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0065,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.5,mg/L,aquatic - not reported,-,toad,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.82,mg/L,renewal,-,northern quahog or hard clam,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.22,mg/L,aquatic - not reported,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0458,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.1225,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.06,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0355,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.24,mg/L,flow-through,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4,mg/L,static,-,red swamp crayfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.022,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0154,mg/L,static,-,korean or oriental shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0114,mg/L,flow-through,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.016,mg/L,static,-,daggerblade grass shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,crayfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0044,g/m2,"environmental, unspecified",-,cricket,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.00038,g/m2,"environmental, unspecified",-,cricket,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,9.5,mg/L,static,-,dobsonfly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.53,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0902,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0434,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.8,mg/L,static,-,inland silverside,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,474.45,mg/L,"environmental, unspecified",-,red scale parasite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.073,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,7.84,mg/L,renewal,-,american or virginia oyster,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.16,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.54,mg/L,renewal,-,northern quahog or hard clam,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0416,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.041,mg/L,static,-,aquatic sowbug,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.5,mg/L,static,-,striped bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,5.2,mg/L,static,-,oikawa,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0422,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.9,mg/L,static,-,sheepshead minnow,ECOTOX,ECOTOX Details
