PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC01,-,mortality:acute,0.0799,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC05,-,mortality:acute,0.1111,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.041,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.1324,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.001,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC10,-,mortality:acute,0.0003,mg/L,static,-,yellow fever mosquito,ECOTOX,ECOTOX Details
6,LC15,-,mortality:acute,0.149,mg/L,static,-,guppy,ECOTOX,ECOTOX Details
6,LC20,-,mortality:acute,0.0011,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC20,-,mortality:acute,0.714286,mg/L,"environmental, unspecified",-,tufted apple bud moth,ECOTOX,ECOTOX Details
6,LC20,-,mortality:acute,0.09,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC25,-,mortality:acute,0.0057,mg/L,static,-,northern house mosquito,ECOTOX,ECOTOX Details
6,LC30,-,mortality:acute,0.024012,ppm,"environmental, unspecified",-,rice weevil,ECOTOX,ECOTOX Details
6,LC30,-,mortality:acute,0.16,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC30,-,mortality:acute,0.0012,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC40,-,mortality:acute,0.26,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC40,-,mortality:acute,0.0013,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0026,mg/L,static,-,copepod,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,131.3,ppm,spray,-,carrot weevil,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,593,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0008,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.004,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,0.0086,mg/L,aquatic - not reported,-,grass carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,23.1,ppm,spray,-,spotted tentiform leafminer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0006,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0021,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0086,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0161,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,534,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0019,mg/L,static,-,daggerblade grass shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,38,ppm,"environmental, unspecified",-,pink bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1000,ppm,culture medium,-,nematode,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.115,mg/L,flow-through,-,bullfrog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.93,ppm,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0157,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0163,mg/L,aquatic - not reported,-,northern pike,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.56,mg/L,flow-through,-,caddisfly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.075,ppm,oral,-,douglas-fir tussock moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.24,ppm,oral,-,douglas-fir tussock moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0249,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0053,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0008,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,145,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0099,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.013,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0068,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0007,mg/L,static,-,yellow fever mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1868,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.63,ppm,oral,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.314,mg/L,flow-through,-,rainbow trout,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.00000815,AI,"environmental, unspecified",-,sorghum stem borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0199,mg/L,static,-,yellow fever mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0053,mg/L,aquatic - not reported,-,northern pike,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,266,ppm,"environmental, unspecified",-,pink bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0024,mg/L,static,-,lahontan cutthroat trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.115039,mg/L,flow-through,-,bullfrog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.2048,ppm,"environmental, unspecified",-,cowpea weevil,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0114,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,renewal,-,daggerblade grass shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.075,mg/L,static,-,tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.00006,mg,"topical, general",-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,471,mg/L,"environmental, unspecified",-,leafminer parasitoid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,60.29,ppm,spray,-,bihar hairy caterpillar,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.03,mg/L,static,-,yellow fever mosquito,ECOTOX,ECOTOX Details
0,LC50,-,mortality:acute,2.07,-,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0054,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.74,mg/L,static,-,pondmussel,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.018,mg/L,static,-,leon springs pupfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.014,mg/L,static,-,western mosquitofish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0009,mg/L,static,-,northern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0046,mg/L,flow-through,-,western mosquitofish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,0.1552,mg/L,aquatic - not reported,-,goldfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,52.58,ppm,oral,-,soybean looper moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0076,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10.8,ppm,"topical, general",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.1,mg/L,"environmental, unspecified",-,rove beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,immersion,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.8,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.019,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,0.0069,mg/L,aquatic - not reported,-,common carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.1,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0068,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.515,mg/L,static,-,fragile papershell,ECOTOX,ECOTOX Details
0,LC50,-,mortality:acute,3.72,-,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.00000393,AI,"environmental, unspecified",-,sorghum stem borer,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,3170,ug/eu,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0014,mg/L,static,-,red swamp crayfish,ECOTOX,ECOTOX Details
0,LC50,-,mortality:acute,2.06,-,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
0,LC50,-,mortality:acute,0.12,-,"environmental, unspecified",-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0003,mg/L,static,-,yellow fever mosquito,ECOTOX,ECOTOX Details
0,LC50,-,mortality:acute,7.69,-,dipped or soaked,-,colorado potato beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.06,mg/kg,"topical, general",-,soybean looper moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.00273903,mg/L,flow-through,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0111,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.09,mg/kg,"topical, general",-,soybean looper moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,22.28,ppm,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.69,mg/kg,"topical, general",-,soybean looper moth,ECOTOX,ECOTOX Details
